satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_at_company,work_accident,left,promotion_last_5years,department,test,salary
0.78,0.95,4,260,5,0,1,0,sales,0.014615385,low
0.37,0.52,2,141,3,0,1,0,sales,0.007375887,low
0.4,0.47,2,144,3,1,1,0,sales,0.006527778,low
0.84,1,5,250,5,0,1,0,sales,0.02,low
0.09,0.86,6,245,4,0,1,0,sales,0.021061224,low
0.83,0.93,4,269,5,0,1,0,sales,0.013828996,low
0.11,0.87,6,273,4,0,1,0,sales,0.019120879,low
0.37,0.5,2,142,3,0,1,0,sales,0.007042254,low
0.09,0.93,6,273,5,0,1,0,sales,0.02043956,low
0.41,0.46,2,150,3,1,1,0,hr,0.006133333,low
0.38,0.51,2,159,3,0,1,0,technical,0.006415094,low
0.85,0.96,4,217,5,0,1,0,technical,0.017695853,low
0.88,0.91,4,234,6,0,1,0,technical,0.015555556,low
0.44,0.46,2,138,3,0,1,0,technical,0.006666667,low
0.11,0.92,7,265,4,0,1,0,technical,0.024301887,low
0.38,0.5,2,145,3,0,1,0,technical,0.006896552,low
0.09,0.78,6,263,4,0,1,0,technical,0.017794677,low
0.11,0.79,6,264,4,0,1,0,technical,0.017954545,low
0.11,0.88,6,253,4,0,1,0,support,0.020869565,low
0.44,0.48,2,155,3,0,1,0,support,0.006193548,low
0.38,0.51,2,137,3,0,1,0,support,0.007445255,low
0.1,0.87,6,254,5,0,1,0,support,0.020551181,low
0.45,0.57,2,143,3,0,1,0,support,0.007972028,low
0.11,0.94,7,280,5,0,1,0,support,0.0235,low
0.36,0.48,2,136,3,0,1,0,support,0.007058824,low
0.72,0.95,5,271,5,0,1,0,support,0.017527675,low
0.43,0.48,2,157,3,0,1,0,support,0.00611465,low
0.45,0.5,2,150,3,0,1,0,support,0.006666667,low
0.4,0.53,2,127,3,0,1,0,support,0.008346457,low
0.1,0.81,6,271,4,0,1,0,technical,0.017933579,low
0.83,0.93,5,257,5,0,1,0,technical,0.018093385,low
0.3,0.89,5,257,5,0,1,0,RandD,0.017315175,low
0.1,0.85,6,266,4,0,1,0,sales,0.019172932,low
0.09,0.9,6,295,4,0,1,0,accounting,0.018305085,low
0.54,0.83,6,165,6,0,1,0,support,0.030181818,low
0.61,0.58,2,264,4,0,1,0,technical,0.004393939,low
0.1,0.79,6,275,4,0,1,0,management,0.017236364,low
0.1,0.9,6,299,4,0,1,0,marketing,0.018060201,low
0.36,0.49,2,147,3,0,1,0,marketing,0.006666667,low
0.1,0.97,7,306,4,0,1,0,marketing,0.022189542,low
0.84,1,5,242,5,0,1,0,sales,0.020661157,low
0.38,0.51,2,159,3,0,1,0,sales,0.006415094,low
0.41,0.49,2,147,3,0,1,0,sales,0.006666667,low
0.37,0.51,2,154,3,1,1,0,sales,0.006623377,low
0.43,0.56,2,129,3,0,1,0,sales,0.008682171,low
0.46,0.53,2,161,3,0,1,0,sales,0.006583851,low
0.09,0.84,6,269,4,0,1,0,sales,0.018736059,low
0.78,0.86,5,274,5,0,1,0,sales,0.015693431,low
0.45,0.53,2,159,3,0,1,0,sales,0.006666667,low
0.42,0.47,2,135,3,0,1,0,sales,0.006962963,low
0.46,0.53,2,147,3,0,1,0,sales,0.007210884,low
0.39,0.49,2,142,3,0,1,0,sales,0.006901408,low
0.36,0.51,2,130,3,0,1,0,sales,0.007846154,low
0.44,0.48,2,158,3,0,1,0,technical,0.006075949,low
0.1,0.87,7,251,5,0,1,0,technical,0.024262948,low
0.09,0.93,6,279,4,0,1,0,technical,0.02,low
0.7,0.84,6,161,4,0,1,0,technical,0.031304348,low
0.72,0.84,4,256,5,0,1,0,technical,0.013125,low
0.11,0.8,6,304,4,0,1,0,technical,0.015789474,low
0.39,0.51,2,137,3,0,1,0,technical,0.007445255,low
0.4,0.49,2,144,3,0,1,0,support,0.006805556,low
0.43,0.54,2,142,3,0,1,0,support,0.007605634,low
0.76,0.87,5,262,5,0,1,0,support,0.016603053,low
0.4,0.48,2,142,3,0,1,0,support,0.006760563,low
0.09,0.89,6,282,4,0,1,0,support,0.01893617,low
0.37,0.54,2,157,3,0,1,0,support,0.006878981,low
0.87,0.91,5,228,5,0,1,0,support,0.01995614,low
0.1,0.86,6,283,4,0,1,0,support,0.018233216,low
0.11,0.86,6,286,4,0,1,0,support,0.018041958,low
0.43,0.5,2,148,3,0,1,0,support,0.006756757,low
0.1,0.81,6,245,4,0,1,0,support,0.019836735,low
0.11,0.95,6,279,4,0,1,0,technical,0.020430108,low
0.85,0.87,5,245,5,0,1,0,technical,0.017755102,low
0.37,0.49,2,138,3,0,1,0,technical,0.007101449,low
0.44,0.52,2,141,3,0,1,0,management,0.007375887,low
0.2,0.5,5,135,6,0,1,0,RandD,0.018518519,low
0.91,0.98,4,242,6,0,1,0,support,0.016198347,low
0.37,0.57,2,158,3,0,1,0,technical,0.00721519,low
0.42,0.57,2,147,3,1,1,0,management,0.007755102,low
0.39,0.68,2,282,5,0,1,0,marketing,0.004822695,low
0.39,0.54,2,154,3,0,1,0,marketing,0.007012987,low
0.44,0.52,2,149,3,0,1,0,marketing,0.006979866,low
0.37,0.45,2,149,3,0,1,0,sales,0.006040268,low
0.39,0.53,2,146,3,0,1,0,sales,0.007260274,low
0.72,0.94,4,258,5,0,1,0,sales,0.014573643,low
0.37,0.49,2,148,3,0,1,0,sales,0.006621622,low
0.82,0.94,5,236,5,0,1,0,sales,0.019915254,low
0.42,0.52,2,134,3,0,1,0,sales,0.007761194,low
0.59,1,2,155,5,0,1,0,sales,0.012903226,low
0.82,0.86,5,257,5,0,1,0,sales,0.016731518,low
0.73,0.97,6,189,2,0,1,0,sales,0.030793651,low
0.78,0.66,3,164,3,0,1,0,sales,0.012073171,low
0.09,0.95,6,271,4,0,1,0,sales,0.02103321,low
0.1,0.97,6,280,4,0,1,0,sales,0.020785714,low
0.45,0.46,2,149,3,0,1,0,sales,0.006174497,low
0.83,0.81,5,219,5,0,1,0,sales,0.018493151,low
0.43,0.51,2,128,3,0,1,0,sales,0.00796875,low
0.73,0.93,5,162,4,0,1,0,technical,0.028703704,low
0.85,0.85,4,247,6,0,1,0,technical,0.013765182,low
0.9,0.7,5,206,4,0,1,0,technical,0.016990291,low
0.46,0.55,2,145,3,0,1,0,technical,0.007586207,low
0.43,0.57,2,159,3,1,1,0,technical,0.007169811,low
0.89,0.88,5,228,5,1,1,0,support,0.019298246,low
0.09,0.81,6,257,4,0,1,0,support,0.018910506,low
0.4,0.48,2,155,3,0,1,0,support,0.006193548,low
0.76,0.83,6,293,6,0,1,0,support,0.016996587,low
0.4,0.57,2,151,3,0,1,0,support,0.007549669,low
0.37,0.48,2,160,3,0,1,0,support,0.006,low
0.37,0.53,2,143,3,0,1,0,support,0.007412587,low
0.11,0.96,6,280,4,0,1,0,support,0.020571429,low
0.37,0.52,2,158,3,0,1,0,support,0.006582278,low
0.09,0.89,7,310,4,0,1,0,support,0.020096774,low
0.88,0.86,5,258,5,0,1,0,support,0.016666667,low
0.84,0.94,5,262,5,0,1,0,technical,0.017938931,low
0.1,0.98,6,265,4,0,1,0,technical,0.022188679,low
0.41,0.47,2,143,3,1,1,0,technical,0.006573427,low
0.84,0.91,5,232,6,0,1,0,management,0.019612069,low
0.41,0.55,2,161,3,0,1,0,IT,0.006832298,low
0.53,0.76,5,132,6,0,1,0,IT,0.028787879,low
0.4,0.49,2,160,3,0,1,0,marketing,0.006125,low
0.66,0.91,5,248,4,0,1,0,management,0.018346774,low
0.42,0.56,2,137,3,0,1,0,marketing,0.008175182,low
0.38,0.49,2,155,3,0,1,0,marketing,0.006322581,low
0.15,0.63,7,229,3,0,1,0,marketing,0.019257642,low
0.38,0.53,2,140,3,0,1,0,sales,0.007571429,low
0.43,0.54,2,156,3,0,1,0,sales,0.006923077,low
0.37,0.57,2,147,3,0,1,0,sales,0.007755102,low
0.11,0.92,7,293,4,0,1,0,sales,0.021979522,low
0.41,0.53,2,157,3,0,1,0,sales,0.006751592,low
0.84,0.96,4,247,5,0,1,0,sales,0.015546559,low
0.4,0.51,2,148,3,0,1,0,sales,0.006891892,low
0.58,0.74,4,215,3,0,0,0,sales,0.013767442,low
0.82,0.67,2,202,3,0,0,0,sales,0.006633663,low
0.45,0.69,5,193,3,0,0,0,sales,0.017875648,low
0.78,0.82,5,247,3,0,0,0,sales,0.01659919,low
0.49,0.6,3,214,2,0,0,0,sales,0.008411215,low
0.36,0.95,3,206,4,0,0,0,sales,0.013834951,low
0.54,0.37,2,176,2,0,0,0,sales,0.004204545,low
0.99,0.91,5,136,4,0,0,0,sales,0.033455882,low
0.5,0.75,6,127,3,0,0,0,sales,0.035433071,low
0.74,0.64,4,268,3,0,0,0,sales,0.009552239,low
1,0.41,4,174,3,0,0,0,technical,0.009425287,low
0.61,0.98,3,267,3,0,0,0,technical,0.011011236,low
0.84,0.77,4,262,4,0,0,0,technical,0.011755725,low
0.85,0.59,3,235,3,0,0,0,support,0.007531915,low
0.67,0.57,2,160,4,0,0,0,support,0.007125,low
0.54,0.94,4,267,4,0,0,0,support,0.014082397,low
0.75,0.56,5,175,4,0,0,0,support,0.016,low
0.82,0.79,4,224,2,0,0,0,support,0.014107143,low
0.76,0.6,4,177,2,0,0,0,support,0.013559322,low
0.19,0.53,6,191,4,0,0,0,support,0.016649215,low
0.61,0.41,3,138,3,0,0,0,support,0.008913043,low
0.51,0.8,3,218,2,1,0,0,support,0.011009174,low
0.52,0.88,3,179,2,1,0,0,support,0.014748603,low
0.74,0.58,3,241,3,0,0,0,support,0.007219917,low
0.98,0.91,4,240,3,0,0,0,technical,0.015166667,low
0.71,0.92,3,202,4,0,0,0,technical,0.013663366,low
0.33,0.88,6,260,3,0,0,0,technical,0.020307692,low
0.98,0.97,3,196,3,0,0,0,management,0.014846939,low
0.52,0.59,2,176,3,1,0,0,IT,0.006704545,low
0.84,0.65,2,140,3,0,0,0,IT,0.009285714,low
0.87,0.5,3,242,2,0,0,0,IT,0.006198347,low
0.48,0.85,3,279,4,0,0,0,IT,0.009139785,low
0.72,0.94,4,240,4,0,0,0,accounting,0.015666667,low
0.93,0.98,3,238,2,0,0,0,marketing,0.012352941,low
0.62,0.74,4,213,4,0,0,0,marketing,0.013896714,low
0.53,0.81,3,226,3,1,0,0,sales,0.010752212,low
0.86,0.99,3,169,2,1,0,0,sales,0.017573964,low
0.92,0.65,4,238,2,0,0,0,sales,0.01092437,low
0.97,0.83,4,202,3,0,0,0,sales,0.016435644,low
0.39,0.78,2,205,6,1,0,0,sales,0.007609756,low
0.45,0.66,3,111,4,0,0,0,sales,0.017837838,low
0.41,0.47,4,104,3,0,0,0,sales,0.018076923,low
0.51,0.69,3,212,3,0,0,0,sales,0.009764151,low
0.74,0.62,4,236,4,0,0,0,sales,0.010508475,low
0.69,0.57,5,245,2,1,0,0,sales,0.011632653,low
0.84,0.64,4,267,4,0,0,0,sales,0.009588015,low
0.69,0.66,5,106,5,0,0,0,sales,0.031132075,low
0.93,0.53,5,198,3,0,0,0,sales,0.013383838,low
0.33,0.45,6,239,3,0,0,0,sales,0.011297071,low
0.25,0.65,5,220,3,0,0,0,sales,0.014772727,low
0.63,0.59,5,224,3,0,0,0,sales,0.013169643,low
0.81,0.62,3,100,3,0,0,0,sales,0.0186,low
0.12,0.87,4,244,5,0,0,0,sales,0.014262295,low
0.52,0.66,4,139,3,0,0,0,sales,0.018992806,low
1,0.74,3,220,4,0,0,0,technical,0.010090909,low
0.86,0.79,3,242,2,0,0,0,support,0.009793388,low
0.59,0.88,4,155,3,1,0,0,support,0.022709677,low
0.74,0.76,5,104,4,0,0,0,support,0.036538462,low
0.98,0.92,4,201,3,1,0,0,support,0.018308458,low
0.93,0.75,5,143,3,0,0,0,support,0.026223776,low
1,0.92,5,161,3,1,0,0,support,0.028571429,low
0.59,0.81,4,200,2,0,0,0,support,0.0162,low
0.98,0.55,4,255,2,0,0,0,support,0.008627451,low
0.35,0.5,5,227,2,0,0,0,support,0.011013216,low
0.42,0.96,3,270,6,0,0,0,support,0.010666667,low
0.61,0.85,5,230,3,0,0,0,support,0.018478261,low
0.78,0.72,5,270,3,1,0,0,technical,0.013333333,low
0.93,0.52,4,200,3,0,0,0,technical,0.0104,low
0.5,0.95,5,207,3,0,0,0,technical,0.02294686,low
0.67,0.51,5,182,3,0,0,0,management,0.014010989,low
0.75,0.85,4,234,3,0,0,0,IT,0.014529915,low
0.79,0.51,4,237,2,0,0,0,IT,0.008607595,low
0.84,0.89,4,187,2,1,0,0,IT,0.019037433,low
0.72,0.5,3,257,6,0,0,0,IT,0.005836576,low
0.57,0.48,2,194,2,0,0,0,IT,0.004948454,low
0.73,0.52,4,162,3,0,0,0,product_mng,0.012839506,low
0.72,0.63,3,176,3,1,0,0,technical,0.010738636,low
0.97,0.68,3,167,3,0,0,0,sales,0.012215569,low
0.27,0.59,5,226,5,0,0,0,sales,0.013053097,low
0.65,0.64,3,223,4,0,0,0,sales,0.008609865,low
0.68,0.73,3,257,3,0,0,0,sales,0.008521401,low
0.68,0.46,4,143,3,0,0,0,sales,0.012867133,low
0.69,0.74,3,215,2,0,0,0,sales,0.010325581,low
0.79,0.99,3,194,4,0,0,0,sales,0.015309278,low
0.74,0.92,5,193,3,0,0,0,sales,0.023834197,low
0.8,0.83,3,163,3,0,0,0,sales,0.015276074,low
0.38,0.94,5,252,5,0,0,0,sales,0.018650794,low
0.26,0.83,3,168,3,0,0,0,sales,0.014821429,low
0.81,0.86,3,231,3,0,0,0,sales,0.011168831,low
0.67,0.54,2,141,2,0,0,0,sales,0.007659574,low
0.55,0.81,4,260,2,0,0,0,sales,0.012461538,low
0.87,0.71,3,132,2,0,0,0,sales,0.016136364,low
0.46,0.69,2,159,2,0,0,0,sales,0.008679245,low
0.63,0.57,4,177,3,1,0,0,sales,0.012881356,low
0.54,0.96,4,248,3,0,0,0,sales,0.015483871,low
1,0.49,3,185,2,0,0,0,sales,0.007945946,low
0.97,0.66,4,149,2,0,0,0,accounting,0.017718121,low
0.9,0.92,3,152,3,0,0,0,accounting,0.018157895,low
0.89,0.47,4,108,3,0,0,0,technical,0.017407407,low
0.79,0.84,3,176,3,0,0,0,support,0.014318182,low
0.73,0.79,4,145,2,1,0,0,support,0.021793103,low
0.83,0.54,3,149,3,0,0,0,support,0.010872483,low
0.42,0.54,3,122,4,0,0,0,support,0.013278689,low
0.18,0.8,2,110,5,0,0,0,support,0.014545455,low
0.92,0.91,4,222,2,0,0,0,support,0.016396396,low
0.87,0.52,3,237,3,0,0,0,support,0.006582278,low
0.72,0.65,4,224,3,0,0,0,support,0.011607143,low
0.64,0.58,5,115,5,0,0,0,support,0.025217391,low
1,0.66,4,180,3,0,0,0,technical,0.014666667,low
0.83,0.65,4,162,3,0,0,0,technical,0.016049383,low
0.98,0.58,4,136,3,0,0,0,technical,0.017058824,low
0.7,0.87,3,260,2,0,0,0,management,0.010038462,low
0.9,0.79,4,150,2,0,0,0,IT,0.021066667,low
0.55,0.99,4,248,3,0,0,0,IT,0.015967742,low
0.78,0.84,3,233,3,1,0,0,IT,0.010815451,low
0.89,0.53,5,272,3,0,0,0,IT,0.009742647,low
0.17,0.59,3,197,5,0,0,0,IT,0.008984772,low
0.14,0.64,5,164,5,0,0,0,product_mng,0.019512195,low
0.85,0.57,4,216,2,0,0,0,product_mng,0.010555556,low
0.84,0.79,4,266,3,1,0,0,product_mng,0.011879699,low
0.76,0.93,3,266,3,1,0,0,marketing,0.010488722,low
0.53,0.72,2,172,5,0,0,0,sales,0.008372093,low
0.25,0.41,3,133,6,1,0,0,sales,0.00924812,low
0.82,0.51,3,234,3,0,0,0,sales,0.006538462,low
0.71,0.57,2,183,4,0,0,0,sales,0.006229508,low
0.61,0.95,4,174,4,0,0,0,sales,0.02183908,low
0.89,0.68,3,175,2,0,0,0,sales,0.011657143,low
0.57,0.78,3,109,3,1,0,0,sales,0.02146789,low
0.93,0.8,4,248,3,0,0,0,sales,0.012903226,low
0.61,0.84,5,104,4,0,0,0,sales,0.040384615,low
0.56,0.62,3,154,2,0,0,0,sales,0.012077922,low
0.7,0.89,6,214,2,0,0,0,sales,0.024953271,low
0.9,0.64,4,209,4,0,0,0,sales,0.012248804,low
0.15,0.74,6,212,2,0,0,0,sales,0.020943396,low
0.39,0.36,3,168,3,1,0,0,sales,0.006428571,low
0.74,0.72,4,176,3,0,0,0,sales,0.016363636,low
0.7,0.61,4,163,4,1,0,0,sales,0.014969325,low
0.72,0.93,4,148,2,0,0,0,sales,0.025135135,low
0.61,0.97,3,137,3,0,0,0,accounting,0.021240876,low
0.96,1,5,162,3,0,0,0,accounting,0.030864198,low
0.7,0.59,4,216,3,0,0,0,accounting,0.010925926,low
0.92,0.49,3,240,2,0,0,0,hr,0.006125,low
0.99,0.75,3,215,3,0,0,0,technical,0.010465116,low
0.61,0.39,3,99,2,0,0,0,support,0.011818182,low
0.91,0.97,3,167,2,0,0,0,support,0.01742515,low
0.47,0.64,3,192,3,0,0,0,support,0.01,low
0.77,0.61,5,146,3,0,0,0,support,0.020890411,low
0.55,0.51,3,190,3,0,0,0,support,0.008052632,low
0.32,0.48,5,246,3,0,0,0,support,0.009756098,low
0.96,0.67,6,190,3,0,0,0,support,0.021157895,low
0.72,0.79,5,260,2,0,0,0,technical,0.015192308,low
0.8,0.9,4,136,3,0,0,0,technical,0.026470588,low
0.61,0.55,4,231,3,0,0,0,technical,0.00952381,low
0.97,0.88,3,204,2,0,0,0,management,0.012941176,low
0.63,0.93,4,201,3,0,0,0,IT,0.018507463,low
0.92,0.92,3,159,3,0,0,0,IT,0.017358491,low
0.94,0.74,5,171,3,0,0,0,IT,0.021637427,low
0.79,0.72,6,240,4,0,0,0,IT,0.018,low
0.75,0.73,2,152,4,0,0,0,IT,0.009605263,low
0.78,0.99,3,151,3,1,0,0,product_mng,0.019668874,low
0.96,0.45,6,232,2,1,0,0,product_mng,0.011637931,low
0.65,0.68,4,128,5,0,0,0,product_mng,0.02125,low
0.18,0.94,3,187,6,1,0,0,product_mng,0.015080214,low
0.94,0.51,3,160,2,0,0,0,IT,0.0095625,low
0.52,0.53,2,163,2,0,0,0,marketing,0.006503067,low
0.91,0.61,2,272,2,0,0,0,sales,0.004485294,low
0.56,0.62,5,238,3,0,0,0,sales,0.01302521,low
0.58,0.69,4,223,4,0,0,0,sales,0.012376682,low
0.51,0.53,3,201,2,0,0,0,sales,0.007910448,low
0.91,0.55,6,97,4,0,0,0,sales,0.034020619,low
0.8,0.98,2,232,6,1,0,0,sales,0.008448276,low
0.55,0.83,4,199,3,0,0,0,sales,0.016683417,low
0.62,0.53,3,141,3,0,0,0,sales,0.011276596,low
0.62,0.6,3,171,2,0,0,0,sales,0.010526316,low
0.87,0.58,4,212,3,0,0,0,sales,0.010943396,low
0.65,0.5,5,270,2,0,0,0,sales,0.009259259,low
0.51,0.64,3,267,2,0,0,0,sales,0.007191011,low
0.98,0.77,3,134,2,1,0,0,sales,0.017238806,low
0.13,0.43,4,165,5,0,0,0,sales,0.010424242,low
0.78,0.76,5,168,4,1,0,0,sales,0.022619048,low
0.6,0.98,3,262,2,0,0,0,accounting,0.011221374,low
0.68,0.69,3,185,2,0,0,0,accounting,0.011189189,low
0.55,0.84,3,237,3,0,0,0,accounting,0.010632911,low
0.99,0.79,4,192,3,0,0,0,hr,0.016458333,low
0.92,0.68,5,236,2,0,0,0,hr,0.01440678,low
1,0.65,4,202,4,1,0,0,hr,0.012871287,low
0.97,0.77,3,182,2,1,0,0,support,0.012692308,low
0.48,0.55,3,228,2,0,0,0,support,0.007236842,low
0.78,1,3,139,3,0,0,0,support,0.021582734,low
0.96,0.62,5,128,5,0,0,0,support,0.02421875,low
0.82,0.97,3,115,2,1,0,0,support,0.025304348,low
0.94,0.9,5,191,4,0,0,0,support,0.023560209,low
0.95,0.66,4,183,3,0,0,0,technical,0.01442623,low
0.59,0.43,3,173,3,0,0,0,technical,0.007456647,low
0.69,0.89,4,174,2,0,0,0,technical,0.02045977,low
0.74,0.72,3,213,3,0,0,0,management,0.010140845,low
0.67,0.67,4,192,4,0,0,0,IT,0.013958333,low
0.83,0.52,3,167,2,1,0,0,IT,0.009341317,low
0.81,0.85,3,263,3,1,0,0,IT,0.009695817,low
0.54,0.73,2,100,3,0,0,0,IT,0.0146,low
0.89,0.83,3,164,3,0,0,0,IT,0.015182927,low
0.79,0.74,5,172,2,0,0,0,product_mng,0.021511628,low
0.46,0.58,4,171,3,0,0,0,product_mng,0.013567251,low
0.99,0.93,4,236,3,0,0,0,product_mng,0.015762712,low
0.75,0.9,5,186,4,0,0,0,product_mng,0.024193548,low
0.93,0.82,4,175,3,0,0,0,IT,0.018742857,low
0.65,0.6,5,227,3,0,0,0,RandD,0.013215859,low
0.19,0.63,4,142,6,0,0,0,RandD,0.017746479,low
0.57,0.85,4,164,3,0,0,0,sales,0.020731707,low
0.97,0.97,5,192,2,0,0,0,sales,0.025260417,low
0.22,0.6,3,205,6,1,0,0,sales,0.008780488,low
0.15,0.53,4,205,5,1,0,0,sales,0.010341463,low
0.6,0.6,3,258,3,0,0,0,sales,0.006976744,low
0.15,0.8,5,151,2,1,0,0,sales,0.026490066,low
0.5,0.81,3,148,2,0,0,0,sales,0.016418919,low
0.9,0.67,3,179,2,0,0,0,sales,0.01122905,low
0.84,0.51,6,141,2,1,0,0,sales,0.021702128,low
0.74,0.78,5,216,2,0,0,0,sales,0.018055556,low
0.72,0.51,3,235,2,0,0,0,sales,0.006510638,low
0.93,0.63,3,160,4,1,0,0,sales,0.0118125,low
0.54,0.69,3,141,4,0,0,0,sales,0.014680851,low
0.87,0.65,4,246,2,1,0,0,sales,0.010569106,low
0.19,0.98,5,226,4,1,0,0,accounting,0.021681416,low
0.33,0.4,4,212,2,1,0,0,accounting,0.00754717,low
0.94,0.93,4,220,3,0,0,0,accounting,0.016909091,low
0.77,0.49,4,266,2,0,0,0,hr,0.007368421,low
0.48,0.82,3,183,2,0,0,0,hr,0.013442623,low
0.7,0.74,5,263,3,1,0,0,hr,0.014068441,low
0.54,0.93,4,161,4,1,0,0,hr,0.02310559,low
0.61,0.98,4,199,2,0,0,0,technical,0.019698492,low
0.56,0.76,4,189,2,0,0,0,support,0.016084656,low
0.73,0.72,4,197,3,0,0,0,support,0.014619289,low
0.97,0.66,6,164,5,0,0,0,support,0.024146341,low
0.15,0.51,6,248,5,0,0,0,support,0.01233871,low
0.69,0.76,5,255,6,0,0,0,technical,0.014901961,low
0.61,0.68,5,225,4,0,0,0,technical,0.015111111,low
0.86,0.58,3,151,2,0,0,0,technical,0.011523179,low
0.55,0.88,4,252,3,0,0,0,management,0.013968254,low
0.9,0.74,4,206,4,1,0,0,IT,0.014368932,low
0.65,0.4,2,141,2,0,0,0,IT,0.005673759,low
0.81,0.92,5,259,3,0,0,0,IT,0.017760618,low
0.65,0.86,5,250,3,0,0,0,IT,0.0172,low
0.47,0.86,4,169,6,0,0,0,IT,0.02035503,low
0.93,0.53,3,200,3,1,0,0,product_mng,0.00795,low
0.77,0.9,4,104,5,0,0,0,product_mng,0.034615385,low
0.87,0.82,6,176,3,0,0,0,product_mng,0.027954545,low
0.87,0.84,5,137,2,0,0,0,product_mng,0.030656934,low
0.65,0.75,2,151,3,0,0,0,IT,0.009933775,low
0.21,0.7,6,130,6,1,0,0,RandD,0.032307692,low
0.75,0.59,4,199,2,0,0,0,RandD,0.011859296,low
0.72,0.86,4,191,2,0,0,0,RandD,0.018010471,low
0.88,0.63,3,273,3,1,0,0,RandD,0.006923077,low
0.41,0.4,2,194,2,0,0,0,sales,0.004123711,low
0.65,0.52,5,149,3,0,0,0,sales,0.017449664,low
0.18,0.75,4,170,5,0,0,0,sales,0.017647059,low
0.61,0.48,3,250,2,0,0,0,sales,0.00576,low
0.86,0.72,4,167,2,0,0,0,sales,0.017245509,low
0.14,0.77,4,166,5,0,0,0,sales,0.018554217,low
0.63,0.8,3,205,2,0,0,0,sales,0.011707317,low
0.79,0.57,3,250,3,0,0,0,sales,0.00684,low
0.78,0.97,4,142,3,0,0,0,sales,0.027323944,low
0.14,0.52,4,217,6,0,0,0,sales,0.009585253,low
0.85,0.54,3,139,3,0,0,0,sales,0.011654676,low
0.85,0.75,4,139,3,0,0,0,sales,0.021582734,low
0.91,0.76,5,152,3,0,0,0,accounting,0.025,low
0.76,0.74,3,224,2,0,0,0,accounting,0.009910714,low
0.62,0.72,5,180,3,0,0,0,accounting,0.02,low
0.53,0.69,4,216,2,0,0,0,hr,0.012777778,low
0.97,0.63,3,133,3,0,0,0,hr,0.014210526,low
0.48,0.53,4,271,3,0,0,0,hr,0.007822878,low
0.5,0.55,4,148,3,1,0,0,hr,0.014864865,low
0.32,0.42,2,99,4,0,0,0,technical,0.008484848,low
0.58,0.77,4,196,2,1,0,0,technical,0.015714286,low
0.81,0.83,3,196,2,0,0,0,technical,0.012704082,low
1,0.94,4,144,3,0,0,0,support,0.026111111,low
0.58,0.69,3,146,4,0,0,0,support,0.014178082,low
0.85,0.78,4,106,2,0,0,0,technical,0.029433962,low
0.45,0.52,2,105,3,0,0,0,technical,0.009904762,low
0.13,0.67,3,181,4,0,0,0,technical,0.011104972,low
0.24,0.5,5,174,4,0,0,0,management,0.014367816,low
0.64,0.69,3,207,2,1,0,0,IT,0.01,low
0.63,0.61,6,118,2,0,0,0,IT,0.031016949,low
0.61,0.99,4,251,2,0,0,0,IT,0.015776892,low
0.71,0.99,2,136,3,0,0,0,IT,0.014558824,low
0.9,0.89,5,249,3,1,0,0,IT,0.017871486,low
0.17,0.76,4,171,5,0,0,0,product_mng,0.017777778,low
0.93,0.97,3,256,2,1,0,0,product_mng,0.011367188,low
0.83,0.89,5,141,3,1,0,0,product_mng,0.031560284,low
0.58,0.75,4,186,2,0,0,0,product_mng,0.016129032,low
0.76,0.5,3,258,3,0,0,0,IT,0.005813953,low
0.5,0.78,3,228,2,0,0,0,RandD,0.010263158,low
0.22,0.81,5,205,4,0,0,0,RandD,0.019756098,low
0.9,0.88,4,174,3,0,0,0,RandD,0.020229885,low
0.7,0.63,3,155,4,1,0,0,RandD,0.012193548,low
0.73,0.85,5,245,3,0,0,0,RandD,0.017346939,low
0.84,0.87,3,271,3,0,0,0,marketing,0.009630996,low
0.49,0.8,2,275,2,0,0,0,sales,0.005818182,low
0.51,0.58,3,155,3,0,0,0,sales,0.011225806,low
0.61,0.59,5,271,2,0,0,0,sales,0.010885609,low
0.56,0.49,5,163,3,0,0,0,sales,0.015030675,low
0.79,0.76,3,160,3,0,0,0,sales,0.01425,low
0.68,0.75,6,274,5,0,0,0,sales,0.016423358,low
0.9,0.84,2,199,3,0,0,0,sales,0.008442211,low
0.83,0.93,5,241,3,0,0,0,sales,0.019294606,low
0.94,0.82,3,187,3,0,0,0,sales,0.01315508,low
0.21,0.65,5,223,3,1,0,0,sales,0.014573991,low
0.58,0.87,3,268,2,0,0,0,sales,0.009738806,low
0.52,0.38,6,169,3,0,0,0,accounting,0.013491124,low
0.18,0.67,5,285,5,0,0,0,accounting,0.011754386,low
0.94,0.91,5,254,3,0,0,0,accounting,0.017913386,low
0.69,0.5,3,208,4,0,0,0,hr,0.007211538,low
0.65,0.83,4,218,3,0,0,0,hr,0.015229358,low
0.46,0.62,2,187,3,0,0,0,hr,0.006631016,low
0.72,0.62,4,256,3,0,0,0,hr,0.0096875,low
0.3,0.37,6,278,3,0,0,0,technical,0.007985612,low
0.51,0.51,4,204,2,0,0,0,technical,0.01,low
0.43,0.75,3,108,2,0,0,0,technical,0.020833333,low
0.56,0.94,3,226,2,0,0,0,technical,0.012477876,low
0.79,0.58,5,165,3,0,0,0,support,0.017575758,low
0.26,0.67,2,242,6,0,0,0,technical,0.00553719,low
